Paper,Methodology,Link,Tools,Year,"PIM ",Journal/Conference,Authors,Name
TransPIM: A Memory-based Acceleration via Software-Hardware Co-Design for Transformer,"Implement using Verilog and synthesize using Synopsys compiler. In-house simulator to model performance and energy characteristics for TransPIM and PIM baselines. Front-end uses TensorFlow interface which extracts workload formation for the simulation. Backend is modified Ramulator. ",https://par.nsf.gov/servlets/purl/10345536,"FPGA/Synthesis, In-house Simulator, Ramulator, TensorFlow",2022,PNM,HPCA,"M. Zhou, W. Xu, J. Kang, T. Rosing",TransPIM
Accelerating Graph Convolutional Networks Using Crossbar-based Processing-In-Memory Architectures,"Model on-chip microarchitectural behaviors by implementing on homegrown cycle-accurate simulator. Memory traces go to Ramulator to simulate off-chip access behaviors. CACTI 6.5 to model energy and area for all PE buffers. CU voltage buffer, current buffer, current reductor take Cadence-simulated results. Reductor controller implemented in Verilog, power consumption and area from RTL synthesis. ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9773267,"CACTI 6.5, Cadence Spectre, FPGA/Synthesis, In-house Simulator, Ramulator",2022,PUM,HPCA,"Y. Huang, L. Zheng, P. Yao, Q. Wang, X. Liao, H. Jin, J. Xue",ReFlip
MeNDA: A Near-Memory Multi-way Merge Solution for Sparse Transposition and Dataflows,"Model performance by designing cycle-accurate simulator and connect memory interface to Ramulator. Area and power estimations based on synthesis of model using Synopsys design compiler. ",https://dl.acm.org/doi/pdf/10.1145/3470496.3527432,"FPGA/Synthesis, In-house Simulator, Ramulator",2022,PNM,ISCA,"Siying Feng, Xin He, Kuan-Yu Chen, Liu Ke, Xuan Zhang, David Blaauw, Trevor Mudge, and Ronald Dreslinski",MeNDA
To PIM or Not for Emerging General Purpose Processing in DDR Memory Systems,Simulate BLIMP and BLIMP-V using riscvOVPsim (runtimes) and DRAMSim2 (time to access bank-level memory from bank-level-core),https://dl.acm.org/doi/pdf/10.1145/3470496.3527431,"DRAMSim2, riscvOVPsim",2022,PNM,ISCA,"Alexandar Devic, Siddhartha Balakrishna Rai, Anand Sivasubramaniam,
Ameen Akel, Sean Eilert, and Justin Eno",BLIMP-V
DIMMining: Pruning-Efficient and Parallel Graph Mining on Near-Memory-Computing,"Design behavior-level BCSR-based graph mining simulator, which also generates physical memory access trace. Build trace-based cache simulator to simulate cache behavior in DIMMining. Latency, area, power data of the cache from CACTI. Ramulator to generate cycle-level evaluation results of each DDR4 rank. DRAM energy data from DRAMPower. Estimate latency, area, and power using Synopsys Design Compiler with TSMC 65nm library, scale performance results to 32nm technology node.",https://dl.acm.org/doi/pdf/10.1145/3470496.3527388,"CACTI, DRAMPower, In-house Simulator, Ramulator, Synopsys",2022,PNM,ISCA,"Guohao Dai, Zhenhua Zhu, Tianyu Fu, Chiyue Wei, Bangyan Wang, Xiangyu Li, Yuan Xie, Huazhong Yang, and Yu Wang.",DIMMining
"A 1ynm 1.25V 8Gb, 16Gb/s/pin GDDR6-based Accelerator-in-Memory supporting 1TFLOPS MAC Operation and Various Activation Functions for Deep-Learning",,https://doi.org/10.1109/ISSCC42614.2022.9731711,,2022,PUM,IEEE/ISSCC,"S. Lee, K. Kim, S. Oh, J. Park, G. Hong, D. Ka, K. Hwang, J. Park, et. al",AiM
RACER: Bit-Pipelined Processing Using Resistive Memory,"Model RACER at device, circuit, and architecture levels. Develop Verilog model of ReRAM cell. Synthesize CMOS domain components using Synopsis Design Compiler to estimate area, power, and critical path latency of components as well as delay and power models for wires. Evaluate microbenchmarks using RACER-sim (https://github.com/ARCANA-Research/RACER-Artifacts in-house simulator which models execution and data movement)",https://dl.acm.org/doi/pdf/10.1145/3466752.3480071,"FPGA/Synthesis, In-house Simulator, Verilog-A",2021,PUM,MICRO,"Minh S. Q. Truong, Eric Chen, Deanyone Su, Alexander Glass, Liting Shen, L. Richard Carley, James A. Bain, and Saugata Ghose.",RACER
TRiM: Enhancing Processor-Memory Interfaces with Scalable Tensor Reduction in Memory,"Modified Ramulator to evaluate performance and energy consumption. Analyze power and area for NDP architectures by estimating power consumption of DDR5 DRAM with DDR4 datasheets from industry (Micron, Samsung) and off-chip I/O with CACTI. DRAM read power by scaling from https://scholar.google.com/scholar_url?url=https://dl.acm.org/doi/abs/10.1145/3123939.3124545&hl=en&sa=T&oi=gsr-r&ct=res&cd=0&d=456589981979722916&ei=lTWEZp_8OaOuy9YPp9CV6A4&scisig=AFWwaeY7Zc0goPfeUgTCa3vBHF7i. Synthesized IPR and NPR units using Synopsys Design Compiler then scaled result. ",https://dl.acm.org/doi/pdf/10.1145/3466752.3480080,"CACTI, FPGA/Synthesis, Micron DRAM Power Calculator, Ramulator",2021,PNM,MICRO,"Jaehyun Park, Byeongho Kim, Sungmin Yun, Eojin Lee, Minsoo Rhu, and Jung Ho Ahn.",TRiM
GIRAF: General Purpose In- Storage Resistive Associative Framework,,https://ieeexplore.ieee.org/document/8891629,,2021,PUM,IEEE TPDS,"L. Yavits, R. Kaplan, R. Ginosar",GIRAF
PiDRAM: A Holistic End-to- end FPGA-based Framework for Processing-in-DRAM,Verilog/FPGA,https://arxiv.org/pdf/2111.00082,FPGA/Synthesis,2021,PUM,,"A. Olgun, J. Gomez-Luna, K. Kanellopoulos, B. Salami,  ́ H. Hassan, O. Ergin, O. Mutlu",PiDRAM
SIMDRAM: A Framework for Bit-Serial SIMD Processing Using DRAM,,,,2021,PUM,ASPLOS,"N. Hajinazar, G. F. Oliveira, S. Gregorio, J. D. Ferreira, N. M. Ghiasi, M. Patel, M. Alser, S. Ghose, J. Gomez-Luna, O. Mutlu",
Accelerating Weather Prediction using Near-Memory Reconfigurable Fabric,Evaluate accelerator designs on two FPGAs. AMESTER tool to measure active power consumption,https://arxiv.org/pdf/2107.08716,"AMESTER, FPGA/Synthesis",2021,PNM,ACM TRETS,"G. Singh, D. Diamantopoulos, J. Gomez-Luna, C. Hagleitner, ´ S. Stuijk, H. Corporaal, O. Mutlu",NERO
FPGA-based Near-memory Acceleration of Modern Data-intensive Applications,FPGA,https://arxiv.org/pdf/2106.06433,FPGA/Synthesis,2021,PNM,IEEE Micro,"G. Singh, M. Alser, D. S. Cali, D. Diamantopoulos, J. Gomez- ´ Luna, H. Corporaal, O. Mutlu",
"Google Neural Network Models for Edge Devices: Analyzing and Mitigating Machine
Learning Inference Bottlenecks",looked at performance and energy using Edge TPU as baseline accelerator,https://arxiv.org/pdf/2109.14320,,2021,PNM,,"A. Boroumand, S. Ghose, B. Akin, R. Narayanaswami, G. F. Oliveira, X. Ma, E. Shiu, O. Mutlu",Mensa
MOUSE: Inference in Non-volatile Memory for Energy Harvesting Applications,Simulate benchmarks on MOUSE with in-house simulator. Latency and energy cost due to peripheral circuitry using data from NVSim,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9251938&tag=1,"In-house Simulator, NVSim",2020,PUM,MICRO,"S. Resch, S. Khatamifard, Z. Chowdhury, M. Zabihi, Z. Zhao, H. Cilasun, J. Wang, S. Sapatnekar, U. Karpuzcu",MOUSE
ELP2IM: Efficient and Low Power Bitwise Operation Processing in DRAM,"H-spice for circuit-level simulation. Parameters from Rambus power model. Power consumption from spice simulation and Micron DDR3 DRAM power datasheet. In-house simulator to calculate latency, throughput, power consumption on several applications",https://people.cs.pitt.edu/~zhangyt/research/hpca2020.pdf,"HSPICE, In-house Simulator, Micron DRAM Power Calculator, Rambus power model, SPICE",2020,PUM,HPCA,"X. Xin, Y. Zhang, J. Yang",ELP2IM
NoM: Network- on-Memory for Inter-Bank Data Transfer in Highly-Banked Memories,"Evaluate effectiveness using Ramulator. Measure performance using IPC. Circuit-level / memory timing parameters from DDR3 DRAM (Micron). Evaluate energy consumption using DRAMPower simulator and Micron 3D energy model. ",https://arxiv.org/pdf/2004.09923,"DRAMPower, Micron DRAM Power Calculator, Ramulator",2020,PUM,CAL,"S. H. S. Rezaei, M. Modarressi, R. Ausavarungnirun, M. Sadrosadati, O. Mutlu, M. Daneshtalab",NoM
FIGARO: Improving System Performance via Fine-Grained In-DRAM Data Relocation and Caching,"Evaluate using modified Ramulator together with in-house processor simulator. User-level application traces from Pin. Fast subarray design using LISA’s SPICE model. Evaluate energy consumption using McPAT for CPU cores, CACTI 6.5 for caches, Orion 3.0 for the interconnect, modified DRAMPower for DRAM. ",https://arxiv.org/pdf/2009.08437,"CACTI 6.5, DRAMPower, In-house Simulator, McPAT, Orion, Pin, Ramulator, SPICE",2020,PUM,MICRO,"Y. Wang, L. Orosa, X. Peng, Y. Guo, S. Ghose, M. Patel, J. S. Kim, J. G. Luna, M. Sadrosadati, N. M. Ghiasi, et al.",FIGARO/FIGCache
In-DRAM Bulk Bitwise Execution Engine,[ambit methodology],https://arxiv.org/pdf/1905.09822,,2020,PUM,,"V. Seshadri, O. Mutlu",
A Heterogeneous PIM Hardware-Software Co-Design for EnergyEfficient Graph Processing,"Implement cycle-accurate simulator. DRAMSim2 to simulate DRAM layer. PU modeled using PrimeTime, RFU simulated with NVSim. CACTI 6.5 to model buffers and estimate area, power, latency. On-chip-network modeled with Booksim 2.0",https://ieeexplore.ieee.org/abstract/document/9139839,"BookSim, CACTI 6.5, DRAMSim2, In-house Simulator, NVSim, PrimeTime",2020,PNM,IPDPS,"Y. Huang, L. Zheng, P. Yao, J. Zhao, X. Liao, H. Jin, J. Xue",Hetraph
NERO: A Near HighBandwidth Memory Stencil Accelerator for Weather Prediction Modeling,,https://arxiv.org/pdf/2009.08241,,2020,PNM,FPL,"G. Singh, D. Diamantopoulos, C. Hagleitner, J. Gomez-Luna, S. Stuijk, O. Mutlu, H. Corporaal",NERO
NATSA: A Near-Data Processing Accelerator for Time Series Analysis,"Simulate general purpose cores using in-house integration of ZSim, whose front-end is Pin, with Ramulator. McPAT for power estimations. For NATSA accelerator, use gem5 and Aladdin integration. Power consumption of memory system using Micron Power Calculator.",https://arxiv.org/pdf/2010.02079,"Aladdin, McPAT, Micron DRAM Power Calculator, Pin, Ramulator, ZSim, gem5",2020,PNM,ICCD,"I. Fernandez, R. Quislant, C. Giannoula, M. Alser, J. GomezLuna, E. Gutierrez, O. Plata, O. Mutlu",NATSA
"GenASM: A High-Performance, LowPower Approximate String Matching Acceleration Framework for Genome Sequence Analysis",performance and power analysis using in-house simulator parametrized with synthesis and memory estimations (from compilers),https://arxiv.org/pdf/2009.07692,In-house Simulator,2020,PNM,MICRO,"D. S. Cali, G. S. Kalsi, Z. Bingol, C. Firtina, L. Subramanian, J. S. Kim, R. Ausavarungnirun, M. Alser, J. Gomez-Luna, A. Boroumand, et al.",GenASM
CONCEPT: A Column-Oriented Memory Controller for Efficient Memory and PIM Operations in RRAM,"Estimate array-level latency and energy of read, write, and MAGIC operations using SPICE. NVSim to determine latency and energy of peripheral circuit. Evaluate memory operations using NVMain. SniperSim for main memory traces. Evaluate PIM operations using bitmap indices. In-house simulator to compare performance and model latency of PIM operations and data transfer between CPU and main memory.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8600341,"In-house Simulator, NVMain, NVSim, SPICE, Sniper",2019,PUM,"IEEE ","N. Talati, R. Ronen, H. Ha, S. Kvatinsky, B. Perach",CONCEPT
FloatPIM: In-Memory Acceleration of Deep Neural Network Training with High Precision,"Cycle-accurate simulator based on Tensorflow to emulate memory functionality. HSPICE for accelerator circuit-level simulations to measure energy consumption and performance of operations, cross-validated using NVsim. System Verilog and Synopsys Design Compiler to implement and synthesize controller. ",https://dl.acm.org/doi/pdf/10.1145/3307650.3322237,"FPGA/Synthesis, HSPICE, In-house Simulator, NVSim, TensorFlow",2019,PUM,ISCA,"Mohsen Imani, Saransh Gupta, Yeseong Kim, and Tajana Rosing.",FloatPIM
PUMA: A Programmable Ultra- Efficient Memristor-Based Accelerator for Machine Learning Inference,"Implemented a detailed architectural simulator (PUMAsim) to evaluate performance and energy consumption. Datapath designed at RTL in Verilog HTL and mapped to IBM tech using Synopsys Design Compiler which was used to measure area and power consumption. Those area and power numbers added to PUMAsim for system-level workload evaluation. Memory modules modeled in Cacti 6.0 for area, power, latency. On-chip network modeled in cycle-level Booksim 2.0 interconnection network simulator, Orion 3.0 for energy and area models. Chip-to-chip interconnect model similar to DaDianNao’s. MVMU power and area models adapted from ISAAC.",https://dl.acm.org/doi/pdf/10.1145/3297858.3304049,"BookSim, CACTI 6.5, FPGA/Synthesis, In-house Simulator, Orion",2019,PUM,ASPLOS,"A. Ankit, I. E. Hajj, S. R. Chalamalasetti, G. Ndu, M. Foltin, R. S. Williams, P. Faraboschi, W.-m. W. Hwu, J. P. Strachan, K. Roy, D. S. Milojicic",PUMA
AlignS: A Processing-in- Memory Accelerator for DNA Short Read Alignment Leveraging SOT-MRAM,"Comprehensive device-to-architecture evaluation along with two in-house simulators. NEGF and LLG with spin Hall effect equations to model SOT-MRAM bit-cell. Circuit-level simulation: Verilog-A model developed to co-simulate with interface CMOS circuits in Cadence Spectre and SPICE. Architectural-level simulator built based on NVSim. Controllers and add-on circuits synthesized by Design Compiler. Behavior-level simulator developed in Matlab. ",https://safari.ethz.ch/architecture_seminar/fall2020/lib/exe/fetch.php?media=dac19-aligns.pdf,"Cadence Spectre, In-house Simulator, NVSim, SPICE, Verilog-A",2019,PUM,DAC,"S. Angizi, J. Sun, W. Zhang, D. Fan",AlignS
Duality Cache for Data Parallel Acceleration,Energy and power model from Neural Cache. Synthesize controller and state machine using Synopsis Design Compiler. CACTI to model energy and area for SRAM,https://web.tecnico.ulisboa.pt/~joaomiguelvieira/public/PTDC/EEI-HAC/5215/2020/DF19a.pdf,"CACTI-P, FPGA/Synthesis",2019,PUM,ISCA,"D. Fujiki, S. Mahlke, R. Das",Duality Cache
The Processing-in-Memory Paradigm: Mechanisms to Enable Adoption,"IMPICA: gem5 full-system simulator with DRAMSim2. McPAT for energy consumption of CPU, caches, memory controllers, IMPICA. DRAMSim2 for DRAM energy. LazyPIM: modified gem5, DRAMSim2 for DRAM timing. ",https://link.springer.com/chapter/10.1007/978-3-319-90385-9_5,"DRAMSim2, McPAT, gem5",2019,PUM,Beyond-CMOS Technologies for Next Generation Computer Design,"S. Ghose, K. Hsieh, A. Boroumand, R. Ausavarungnirun, O. Mutlu","IMPICA, LazyPIM"
ComputeDRAM: In- Memory Compute Using Off-the-Shelf DRAMs,Evaluate work on set of testbeds (host system and FPGA board),https://parallel.princeton.edu/papers/micro19-gao.pdf,FPGA/Synthesis,2019,PUM,MICRO,"F. Gao, G. Tziantzioulis, D. Wentzlaff",ComputeDRAM
GraphQ: Scalable PIM-based Graph Processing,Evaluate with zSim with inserted NOC layer between LLC and memory.,https://dl.acm.org/doi/pdf/10.1145/3352460.3358256,ZSim,2019,PNM,MICRO,"Y. Zhuo, C. Wang, M. Zhang, R. Wang, D. Niu, Y. Wang, X. Qian",GraphQ
CoNDA: Efficient Cache Coherence Support for near-Data Accelerators,"Implement in gem5 simulator. Perform sims in full-system mode with x86 ISA, modify integrated DRAMSim2 DRAM timing simulator to model 3D HMC DRAM. Model coherence mechanisms with Ruby memory model in gem5. Estimate cache energy consumption using CACTI-P 6.5",https://ghose.cs.illinois.edu/papers/19isca_conda.pdf,"CACTI 6.5, CACTI-P, DRAMSim2, gem5",2019,PNM,ISCA,"A. Boroumand, S. Ghose, M. Patel, H. Hassan, B. Lucia, R. Ausavarungnirun, K. Hsieh, N. Hajinazar, K. T. Malladi, H. Zheng, O. Mutlu",CoNDA
NAPEL: Near-memory Computing Application Performance Prediction via Ensemble Learning,"Evaluate performance on real system and NMC performance on Ramulator, extended with 3D-stacked memory model.",https://people.inf.ethz.ch/omutlu/pub/NAPEL-near-memory-computing-performance-prediction-via-ML_dac19.pdf,Ramulator,2019,PNM,DAC,"G. Singh, J. Gomez-Luna, G. Mariani, G. F. Oliveira, S. Corda, S. Stujik, O. Mutlu, H. Corporaal",NAPEL
Memristive Devices for Computation-in-Memory,HSPICE simulation,https://arxiv.org/pdf/1907.07898,HSPICE,2018,PUM,DATE,"J. Yu, H. A. D. Nguyen, L. Xie, et al.",
CMP-PIM: An Energy-efficient Comparator-based Processing-in-Memory Neural Network Accelerator,"Evaluate performance of algorithm accuracy and hardware implementation using data-sets. Simulation on Torch, a Matlab-like deep learning framework. Circuit-level simulation initially in Cadence Spectre. ‘Massively modified’ NVSim to simulate real-time resistance in memory read/write paths. Control unit Verilog/Synopsys Design Compiler",https://dl.acm.org/doi/pdf/10.1145/3195970.3196009,"Cadence Spectre, FPGA/Synthesis, NVSim, Torch",2018,PUM,DAC,"S. Angizi, A. S. Rakin, D. Fan",CMP-PIM/CMPNET
PIMA-Logic: A Novel Processing-in- Memory Architecture for Highly Flexible and Energy-efficient Logic Computation,"Simulation in Cadence Spectre. Logic netlist fed to ThrEshold Logic Synthesizer to obtain synthesized logic networks, which are mapped to PIMA-Logic. Evaluate performance for data encryption application using gem5, power dissipation from McPAT.",https://par.nsf.gov/servlets/purl/10094193#page=1.00&gsr=0,"Cadence Spectre, FPGA/Synthesis, McPAT, gem5",2018,PUM,DAC,"S. Angizi, Z. He, D. Fan",PIMA-Logic
Neural Cache: Bit-serial In-cache Acceleration of Deep Neural Networks,Power and delay of SRAM using simulated SPICE model. Developed cycle-accurate simulator for in-cache computation,https://arxiv.org/pdf/1805.03718,"In-house Simulator, SPICE",2018,PUM,ISCA,"C. Eckert, X. Wang, J. Wang, A. Subramaniyan, R. Iyer, D. Sylvester, D. Blaaauw, R. Das",Neural Cache
DrAcc: a DRAM Based Accelerator for Accurate CNN Inference,"Design Compiler and H-spice for hardware simulation, CACTI to simulate DRAM structure",https://dl.acm.org/doi/pdf/10.1145/3195970.3196029,"CACTI-P, HSPICE, Synopsys",2018,PUM,DAC,"Q. Deng, L. Jiang, Y. Zhang, M. Zhang, J. Yang",DrAcc
"Enabling the Adoption of Processing-in- Memory: Challenges, Mechanisms, Future Research Directions",,https://arxiv.org/pdf/1802.00320,,2018,PUM,,"S. Ghose, K. Hsieh, A. Boroumand, R. Ausavarung- nirun, O. Mutlu","IMPICA, LazyPIM"
Scope: A Stochastic Computing Engine for DRAM-based In-situ Accelerator,"Evaluate circuit using heavily-modified CACTI-3DD to model DRAM architecture. FreePDK45 for computational unit parameters. Synthesize unit for power, performance, area parameters. ",https://dl.acm.org/doi/pdf/10.1109/MICRO.2018.00062,"CACTI-3DD, FPGA/Synthesis, FreePDK45",2018,PUM,MICRO,"S. Li, A. O. Glova, X. Hu, P. Gu, D. Niu, K. T. Malladi, H. Zheng, B. Brennan, Y. Xie",SCOPE
GraphP: Reducing Communication for PIM-based Graph Processing with Efficient Data Partition,Build HMC simulator called hmc-zSim. Estimate unit energy cost with ORION 3.0. McPAT to check power results.,https://alchem.usc.edu/~youwei/publications/2018.hpca.graphp.pdf,"In-house Simulator, McPAT, Orion, ZSim",2018,PNM,HPCA,"M. Zhang, Y. Zhuo, C. Wang, M. Gao, Y. Wu, K. Chen, C. Kozyrakis, X. Qian",GraphP
GraphH: A Processing-in-Memory Architecture for Large-scale Graph Processing,"In-house simulator. Trace files of graph data access patterns from DynamoRIO. Apply to timing model from Cacti 6.5 and DRAMSim2 for execution time. ",https://ieeexplore-ieee-org.amherst.idm.oclc.org/document/8328836,"CACTI 6.5, DRAMSim2, DynamoRIO, In-house Simulator",2018,PNM,IEEE TCAD,"G. Dai, T. Huang, Y. Chi, J. Zhao, G. Sun, Y. Liu, Y. Wang, Y. Xie, H. Yang",GraphH
GRIM-Filter: Fast Seed Location Filtering in DNA Read Mapping Using Processing-inMemory Technologies,"Mapper, execution time",https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-018-4460-0,,2018,PNM,BMC Genomics,"J. S. Kim, D. Senol, H. Xin, D. Lee, S. Ghose, M. Alser, H. Hassan, O. Ergin, C. Alkan, O. Mutlu",GRIM-Filter
"Google Workloads for Consumer Devices: Mitigating
Data Movement Bottlenecks",evaluated workloads by looking at hardware performance counters within Chromebook SoC (system on a chip),https://dl.acm.org/doi/10.1145/3173162.3173177,,2018,PNM,ASPLOS,"A. Boroumand, S. Ghose, Y. Kim, R. Ausavarungnirun, E. Shiu, R. Thakur, D. Kim, A. Kuusela, A. Knies, P. Ranganathan, O. Mutlu",
Memristor for Computing: Myth or Reality?,,https://past.date-conference.com/proceedings-archive/2017/pdf/7095.pdf,,2017,PUM,DATE,"S. Hamdioui, S. Kvatinsky, e. a. G. Cauwenberghs",
ReVAMP: ReRAM based VLIW Architecture for In-memory Computing,Algorithm evaluated using EPFL benchmarks and computation time,https://past.date-conference.com/proceedings-archive/2017/pdf/0112.pdf,,2017,PUM,DATE,"D. Bhattacharjee, R. Devadoss, A. Chattopadhyay",ReVAMP
